iframe test results
--- http://abclocal.go.com: OK
--- http://abcnews.go.com: OK
--- http://afr.com: OK
--- http://allafrica.com: FRAMEBUSTER
--- http://americablog.com: OK
--- http://arstechnica.com: OK
--- http://articles.chicagotribune.com: OK
--- http://articles.cnn.com: OK
--- http://articles.economictimes.indiatimes.com: OK
--- http://articles.sun-sentinel.com: OK
--- http://articles.timesofindia.indiatimes.com: OK
--- http://articles.washingtonpost.com: OK
--- http://asiancorrespondent.com: OK
--- http://au.ibtimes.com: OK
--- http://au.news.yahoo.com: OK
--- http://azdailysun.com: OK
--- http://azstarnet.com: OK
--- http://bangordailynews.com: OK
--- http://bdnews24.com: OK
--- http://beaconnews.ca: OK
--- http://beta.dawn.com: OK
--- http://beta.fool.com: OK
--- http://billingsgazette.com: OK
--- http://blog.al.com: OK
--- http://blog.chron.com: OK
--- http://blogcritics.org: OK
--- http://blog.heartland.org: OK
--- http://blog.heritage.org: OK
--- http://blog.newsok.com: OK
--- http://blog.nj.com: OK
--- http://blog.oregonlive.com: OK
--- http://blogs.burlingtonfreepress.com: OK
--- http://blogs.cfr.org: OK
--- http://blogs.crikey.com.au: OK
--- http://blogs.discovermagazine.com: OK
--- http://blog.seattlepi.com: OK
--- http://blogs.edf.org: OK
--- http://blogs.independent.co.uk: OK
--- http://blogs.kqed.org: OK
--- http://blogs.kxan.com: FRAMEBUSTER
--- http://blogs.palmbeachpost.com: OK
--- http://blogs.plos.org: OK
--- http://blogs.redding.com: OK
--- http://blogs.scientificamerican.com: OK
--- http://blogs.seattletimes.com: OK
--- http://blogs.smithsonianmag.com: OK
--- http://blogs.spectator.co.uk: OK
--- http://blogs.telegraph.co.uk: OK
--- http://blogs.wsj.com: OK
--- http://blog.thenewstribune.com: OK
--- http://blog.timesunion.com: OK
--- http://blog.ucsusa.org: OK
--- http://blueandgreentomorrow.com: OK
--- http://boingboing.net: OK
--- http://bostonherald.com: OK
--- http://brainerddispatch.com: OK
--- http://bristol.ac.uk: OK
--- http://businessmirror.com.ph: OK
--- http://ca.finance.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://ca.news.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://capegazette.villagesoup.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://chronicle.com: OK
--- http://cincinnati.com: OK
--- http://cleantechnica.com: OK
--- http://cognoscenti.wbur.org: OK
--- http://community.scoop.co.nz: OK
--- http://community.statesmanjournal.com: OK
--- http://cordis.europa.eu: OK
--- http://crosscut.com: OK
--- http://dailycaller.com: OK
--- http://dailyitem.com: OK
--- http://dailymaverick.co.za: OK
--- http://dailystar.com.lb: OK
--- http://dawn.com: OK
--- http://dealbook.nytimes.com: FRAMEBUSTER
--- http://democratherald.com: OK
--- http://designbuildsource.com.au: OK
--- http://dhakatribune.com: OK
--- http://diamondbar-walnut.patch.com: OK
--- http://donnalaframboise.mensnewsdaily.com: OK
--- http://dotearth.blogs.nytimes.com: FRAMEBUSTER
--- http://dotnet.sys-con.com: OK
--- http://durangoherald.com: OK
--- http://eandt.theiet.org: OK
--- http://earthfix.opb.org: OK
--- http://earthsky.org: OK
--- http://econintersect.com: OK
--- http://economictimes.indiatimes.com: OK
--- http://energy.aol.com: OK
--- http://energybangla.com: OK
--- http://energy.einnews.com: OK
--- http://enewspf.com: OK
--- http://english.pravda.ru: OK
--- http://english.ruvr.ru: OK
--- http://english.vietnamnet.vn: OK
--- http://enidnews.com: OK
--- http://enr.construction.com: OK
--- http://environmentalresearchweb.org: OK
--- http://esciencenews.com: OK
--- http://fabiusmaximus.com: OK
--- http://failover.washingtonpost.com: OK
--- http://finance.boston.com: OK
--- http://finance.fortune.cnn.com: OK
--- http://finance.ninemsn.com.au: OK
--- http://finance.townhall.com: OK
--- http://finance.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://fis.com: OK
--- http://frenchtribune.com: OK
